# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "example_data/genome/mm10_chr19/gencode.vM25.primary_assembly.annotation.ch19.gtf" "-o" "feature_count/counts.s2.strict.txt" "-T" "4" "-g" "gene_id" "-Q" "20" "--minOverlap" "1" "--fracOverlap" "0" "-p" "-B" "-C" "-s" "2" "mapped_reads/KO_D0_1_S2.bam" "mapped_reads/KO_D0_2_S8.bam" "mapped_reads/KO_D2_1_S4.bam" "mapped_reads/KO_D2_2_S10.bam" "mapped_reads/KO_D8_1_S6.bam" "mapped_reads/KO_D8_2_S12.bam" "mapped_reads/WT_D0_1_S1.bam" "mapped_reads/WT_D0_2_S7.bam" "mapped_reads/WT_D2_1_S3.bam" "mapped_reads/WT_D2_2_S9.bam" "mapped_reads/WT_D8_1_S5.bam" "mapped_reads/WT_D8_2_S11.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/KO_D0_1_S2.bam	mapped_reads/KO_D0_2_S8.bam	mapped_reads/KO_D2_1_S4.bam	mapped_reads/KO_D2_2_S10.bam	mapped_reads/KO_D8_1_S6.bam	mapped_reads/KO_D8_2_S12.bam	mapped_reads/WT_D0_1_S1.bam	mapped_reads/WT_D0_2_S7.bam	mapped_reads/WT_D2_1_S3.bam	mapped_reads/WT_D2_2_S9.bam	mapped_reads/WT_D8_1_S5.bam	mapped_reads/WT_D8_2_S11.bam
ENSMUSG00000097557.2	chr19;chr19;chr19	15985078;15986507;16010100	15985292;15986632;16010696	+;+;+	938	1	0	8	7	6	2	2	0	4	5	2	1
ENSMUSG00000117711.1	chr19	16025451	16025717	+	267	1	2	0	3	0	1	0	0	0	1	0	2
ENSMUSG00000024639.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	16132831;16133296;16219588;16219588;16219632;16316017;16316017;16316017;16317090;16332077;16334981;16378157;16383204	16133461;16133461;16219772;16219772;16219772;16316527;16316171;16316171;16317274;16332205;16335110;16378310;16387463	+;+;+;+;+;+;+;+;+;+;+;+;+	6185	3019	2431	3212	4670	4005	3778	2351	2274	2384	3020	2817	3004
ENSMUSG00000057990.4	chr19	16164312	16164805	-	494	73	68	82	92	83	92	83	54	80	132	90	87
ENSMUSG00000075268.2	chr19	16267061	16267621	-	561	754	560	951	800	719	617	697	610	836	819	539	685
ENSMUSG00000078528.2	chr19	16277797	16278776	+	980	18	18	19	18	18	19	18	18	18	19	18	18
ENSMUSG00000098718.1	chr19	16314892	16315004	-	113	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118142.1	chr19	16413494	16414290	+	797	0	0	2	0	0	0	1	0	0	1	0	0
ENSMUSG00000118033.1	chr19;chr19;chr19;chr19	16415826;16419255;16422371;16422577	16416506;16419356;16422409;16422829	-;-;-;-	1075	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024697.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	16435762;16439300;16533713;16533713;16598940;16598940;16603264;16603264;16604963;16604963;16607983;16607983;16609340;16609340	16436817;16439443;16533897;16533897;16599094;16599094;16603392;16603392;16605092;16605092;16608136;16608136;16609819;16610820	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3434	14	56	2	21	30	21	10	47	3	6	10	11
ENSMUSG00000117699.1	chr19	16490522	16491064	-	543	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000118023.1	chr19	16572160	16572468	-	309	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046230.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	16615366;16615686;16616763;16619094;16619094;16619094;16619378;16619378;16619378;16620624;16620624;16620624;16624778;16628172;16630968;16632556;16635207;16635769;16635769;16635769;16635769;16639990;16639990;16639990;16639990;16640202;16640202;16640202;16640202;16640537;16640537;16640537;16640537;16640784;16640784;16640784;16641558;16641558;16641558;16643749;16643749;16643749;16645578;16645849;16645849;16645849;16647593;16647593;16647593;16647593;16651419;16651419;16651419;16651419;16652687;16652687;16652687;16652687;16653841;16653841;16653841;16653841;16654341;16654341;16654341;16654341;16655209;16655209;16655209;16655209;16655859;16655859;16655859;16655859;16658604;16658604;16658604;16658604;16660448;16660448;16660448;16660448;16660997;16660997;16660997;16660997;16661291;16661783;16663752;16663752;16663752;16663752;16664008;16664008;16664008;16664008;16664509;16664509;16664509;16664509;16665748;16666154;16666154;16666154;16668598;16668598;16668598;16676046;16676046;16676046;16677854;16677854;16677854;16678245;16678245;16680010;16680010;16681870;16681870;16682784;16682784;16685168;16685278;16685278;16686429;16686429;16686429;16687084;16687084;16687947;16687947;16691747;16691747;16695459;16695459;16698808;16698808;16701121;16701121;16703504;16703504;16703688;16703688;16704532;16704532;16705875;16705875;16707327;16707327;16710271;16710271;16710787;16710787;16715049;16715049;16720329;16720329;16722338;16722395;16722395;16723640;16723640;16723640;16725557;16725557;16725557;16734025;16734715;16734715;16734715;16734915;16734915;16734915;16734915;16740763;16740763;16740763;16740763;16740980;16741177;16741177;16741177;16741177;16742439;16742439;16742439;16742439;16742439;16742996;16742996;16742996;16742996;16742996;16744786;16744786;16744824;16745661;16745661;16745661;16745661;16745951;16745951;16745951;16745951;16749526;16749526;16749526;16749526;16749847;16749847;16749847;16749847;16750122;16750122;16750122;16752119;16752119;16752119;16752320;16754252;16754252;16754252;16759587;16759587;16759587;16759587;16759941;16759941;16759941;16759941;16762149;16762149;16762149;16762149;16766497;16766497;16766497;16766497;16780670;16780670;16780670;16780670	16616915;16616915;16616915;16619168;16619168;16619168;16619501;16619501;16619501;16620709;16620709;16620709;16624896;16628320;16631347;16633162;16635593;16635880;16635880;16635880;16635880;16640113;16640113;16640113;16640113;16640247;16640247;16640247;16640247;16640700;16640618;16640700;16640700;16640859;16640859;16640859;16641671;16641671;16641671;16643830;16643830;16643830;16645994;16645994;16645994;16645994;16647706;16647706;16647706;16647706;16651524;16651524;16651524;16651524;16652756;16652756;16652756;16652756;16653922;16653922;16653922;16653922;16654487;16654487;16654487;16654487;16655359;16655359;16655359;16655359;16656091;16656091;16656091;16656091;16658733;16658733;16658733;16658733;16660581;16660581;16660581;16660581;16661125;16661125;16661125;16661125;16661494;16661959;16663898;16663898;16663898;16663898;16664112;16664112;16664112;16664112;16664904;16664648;16664904;16664904;16666284;16666436;16666436;16666436;16668701;16668701;16668701;16676206;16676206;16676206;16677979;16678109;16678109;16678403;16678403;16680111;16680111;16682226;16682226;16682876;16682876;16685510;16685510;16685510;16686573;16686643;16686643;16687253;16687253;16688071;16688071;16691897;16691897;16695606;16695606;16699112;16699112;16701288;16701288;16703607;16703607;16703804;16703804;16704685;16704685;16705934;16705934;16707406;16707406;16710427;16710427;16710941;16710941;16715127;16715127;16720467;16720467;16722512;16722512;16722512;16723772;16723772;16723772;16725693;16725693;16725693;16734829;16734829;16734829;16734829;16735101;16735101;16735101;16735101;16740905;16740905;16740905;16740905;16741271;16741271;16741271;16741271;16741271;16742568;16742568;16742568;16742568;16742568;16743038;16743058;16743058;16743058;16743058;16744957;16744957;16744957;16745767;16745767;16745767;16745767;16746078;16746078;16746078;16746078;16749583;16749583;16749583;16749583;16749927;16750938;16749927;16749927;16750181;16750181;16750181;16752178;16752178;16752178;16754361;16754361;16754361;16754361;16759688;16759688;16759688;16759688;16760036;16760036;16760036;16760036;16762191;16762191;16762191;16762191;16766540;16766540;16766540;16766540;16780933;16780912;16780822;16780927	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	17801	822	836	1093	986	1369	968	820	964	858	841	1082	999
ENSMUSG00000114931.1	chr19	16715799	16716261	+	463	12	7	7	28	15	9	8	6	4	30	15	3
ENSMUSG00000046388.4	chr19;chr19;chr19	16780547;16780953;16781032	16780951;16781027;16781103	+;+;+	552	0	0	0	0	0	2	0	0	2	4	0	0
ENSMUSG00000118126.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19	16871092;16919333;16919333;16921379;16924805;16924805;16924805	16872059;16919748;16919748;16921493;16925014;16925014;16925004	+;+;+;+;+;+;+	1709	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000056829.4	chr19	16872319	16873805	-	1487	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039126.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	16956118;16956118;16999939;16999939;17003622;17003622;17006622;17006622;17016208;17016208;17020559;17020559;17054790;17113587;17118043;17124938;17125647;17136766;17136766;17136775;17138739;17168263;17168263;17168263;17168263;17168263;17168263;17178790;17178790;17178790;17178790;17178790;17178790;17193256;17193256;17193256;17193256;17193256;17193256;17199113;17199113;17199113;17199113;17199113;17199781;17199781;17199781;17199781;17199781;17201642;17201642;17201642;17201642;17201642;17208231;17208231;17208231;17208231;17208231;17208251;17211678;17212292;17212292;17214314;17216326;17216326;17220784;17220784;17220784;17220784;17220784	16956292;16956292;17000043;17000043;17003824;17003824;17006785;17006785;17016357;17016357;17020653;17020653;17055782;17113742;17124592;17125703;17125703;17136891;17136891;17136891;17138828;17168342;17168342;17168342;17168342;17168342;17168342;17178990;17178990;17178990;17178990;17178990;17178990;17193803;17193429;17193429;17193429;17193429;17193429;17199215;17199215;17199215;17199215;17199215;17199912;17199912;17199912;17199912;17199912;17201728;17201728;17201728;17201728;17201728;17208329;17208329;17208329;17208329;17208329;17210131;17211713;17212330;17212330;17218761;17216373;17216373;17221194;17221809;17221584;17221378;17223932	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	20297	316	226	261	257	488	425	277	212	210	193	582	533
ENSMUSG00000098298.1	chr19	17056781	17057187	-	407	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099316.1	chr19	17060137	17060397	-	261	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117941.1	chr19;chr19;chr19	17238047;17239689;17240577	17238670;17239776;17240669	-;-;-	805	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118367.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	17244010;17251457;17251865;17251865;17253685;17253685;17256413;17256413	17245256;17251669;17251951;17251951;17253944;17253944;17256488;17256488	-;-;-;-;-;-;-;-	1883	0	0	0	1	0	1	1	0	0	0	0	0
ENSMUSG00000117946.1	chr19	17265984	17266338	-	355	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038843.18	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	17326141;17326143;17328669;17328909;17332246;17333110;17333110;17333110;17333110;17335327;17339468;17356557;17356557;17372766	17330488;17330488;17330488;17330488;17333256;17333256;17333256;17333256;17333256;17335436;17339568;17356667;17356667;17372844	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5760	296	211	417	327	259	304	343	228	397	373	283	272
ENSMUSG00000024712.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	17394043;17394568;17395198;17395198;17397437;17398578;17398578;17398578;17399473;17399473;17399473	17394392;17394619;17395349;17395349;17397505;17398680;17398680;17398680;17399858;17399961;17401349	+;+;+;+;+;+;+;+;+;+;+	2603	976	989	954	1162	994	1015	783	821	808	936	789	918
ENSMUSG00000024713.16	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	17432319;17436453;17439019;17447475;17451868;17454683;17456664;17461651;17463341;17466106;17469018;17472954;17474812;17477874;17510168;17511376;17515136;17525212;17558174;17562728;17563782;17563782;17564710;17564710;17564710;17565268;17565268;17565268;17568269;17568269;17568269;17572424;17572424;17572424;17575806;17575806;17575806;17581136;17581136;17581136;17586010;17586010;17586010;17594540;17594540;17594540;17595661;17595661;17595661;17617651;17617651;17642493;17642493;17642493;17654688;17654688;17654688;17670420;17673452;17675421;17675421;17675421;17675421;17678469;17678469;17678469;17678469;17678469;17711915;17711915;17711915;17711915;17711915;17714758;17714758;17714758;17714758;17714758;17752063;17752063;17752063;17752063;17752063;17793629;17793629;17793629;17793629;17793629;17836955;17836955;17836955;17836955;17836955	17433775;17436639;17439119;17447692;17452045;17454910;17456900;17461868;17463536;17466183;17469098;17473154;17474948;17477916;17510236;17511582;17515272;17525314;17560829;17563897;17563897;17563897;17564839;17564839;17564839;17565365;17565365;17565365;17568353;17568353;17568353;17572617;17572617;17572617;17575908;17575908;17575908;17581279;17581279;17581279;17586146;17586146;17586146;17594728;17594728;17594728;17595778;17595778;17595778;17617754;17617754;17642593;17642593;17642593;17654900;17654900;17654900;17671999;17675593;17675593;17675593;17675593;17675593;17678557;17678557;17678557;17678557;17678557;17711991;17711991;17711991;17711991;17711991;17714901;17714901;17714901;17714901;17714901;17752176;17752176;17752176;17752176;17752176;17793733;17793733;17793733;17793733;17793733;17837617;17837632;17837632;17837632;17837632	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14447	1577	5121	3418	9655	825	1072	1282	5746	3054	5265	832	1018
ENSMUSG00000118270.1	chr19	17692763	17692900	+	138	2	3	4	4	4	5	6	4	2	3	4	5
ENSMUSG00000088370.1	chr19	17865317	17865419	-	103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118079.1	chr19;chr19;chr19;chr19	17873829;17875698;17876638;17893462	17873930;17875808;17876837;17893500	+;+;+;+	452	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076305.1	chr19	17891959	17892051	-	93	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117822.1	chr19	17926623	17928009	+	1387	1030	683	1140	1384	739	695	602	427	787	1551	767	826
ENSMUSG00000076303.1	chr19	17928111	17928226	+	116	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000117687.1	chr19;chr19;chr19	18028111;18039476;18040496	18028271;18039669;18040803	+;+;+	663	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117774.1	chr19	18205148	18205795	-	648	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118192.1	chr19	18480076	18480748	+	673	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024725.13	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	18516137;18517305;18579328;18580809;18580992;18584642;18584642;18584642;18584642;18586547;18586547;18586547;18589705;18589705;18589705;18589705;18590401;18590401;18590401;18590401;18592583;18592583;18592583;18592583;18593601;18593856;18593856;18593856;18593856;18596351;18596351;18596351;18596351;18596351;18598913;18604166;18604166;18604166;18604166;18604166;18631620;18631620;18631620;18631620;18631620	18516280;18517375;18581328;18581328;18581328;18586625;18584743;18584743;18584743;18586625;18586625;18586625;18589754;18589754;18589754;18589754;18590508;18590508;18590508;18590508;18592636;18592636;18592636;18592636;18593919;18593919;18593919;18593919;18593919;18596401;18596401;18596401;18596401;18596401;18598989;18604212;18604212;18604212;18604212;18604212;18631718;18631740;18631789;18631789;18631823	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5110	2401	1585	1597	2068	2365	2668	2352	1575	1462	1780	2119	2992
ENSMUSG00000080783.1	chr19	18581455	18582228	+	774	4	3	6	3	3	3	4	2	2	3	2	2
ENSMUSG00000037847.14	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	18631950;18631950;18631950;18631959;18631962;18631998;18636079;18636079;18636079;18636079;18636079;18636079;18638918;18639518;18639518;18639518;18639518;18639886;18639886;18639886;18639886;18641124;18641124;18641124;18641124;18641403;18641403;18641403;18642174;18642174;18642174;18645055;18645055;18645055;18645912;18651236;18651236;18651236	18632081;18631999;18631999;18632081;18632081;18632081;18636142;18636142;18637299;18636142;18636385;18636142;18639399;18639608;18639608;18639608;18639608;18639934;18639934;18639934;18639934;18641271;18641229;18641271;18641271;18641474;18641474;18641474;18642280;18642280;18642280;18645138;18645138;18645138;18646021;18652194;18652428;18651927	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3689	118	80	179	212	115	150	111	105	133	172	137	153
ENSMUSG00000024726.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	18670764;18670879;18671329;18677688;18677688;18677688;18679104;18679104;18690230;18690230;18691417;18691417;18693649;18693649;18703361;18703361;18704020;18704020	18671202;18671491;18671435;18677795;18677883;18677883;18679267;18679267;18690370;18690370;18691595;18691595;18693762;18693762;18703464;18703464;18704222;18707200	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4807	890	726	960	1100	910	750	837	727	928	938	743	804
ENSMUSG00000047044.7	chr19;chr19;chr19;chr19	18713193;18713236;18717219;18717222	18713659;18713659;18718428;18718428	+;+;+;+	1677	250	158	429	426	213	163	248	148	430	358	200	216
ENSMUSG00000117878.1	chr19;chr19	18731873;18732749	18732545;18732776	-;-	701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064941.1	chr19	18732741	18732904	+	164	3	0	0	7	2	4	0	0	0	1	16	9
ENSMUSG00000024727.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	18749983;18749991;18758625;18772321;18772321;18772321;18776693;18776693;18776693;18778520;18778520;18778520;18783040;18783040;18783040;18783774;18783774;18783774;18786674;18786674;18786674;18791986;18791986;18791986;18792836;18792836;18792836;18796253;18796253;18796253;18796441;18796441;18796441;18800935;18800935;18800935;18802149;18802149;18802149;18809532;18809532;18809532;18811679;18811679;18811679;18813349;18813349;18813349;18815241;18815241;18815241;18819038;18819038;18819038;18823333;18823333;18823333;18825751;18825791;18827371;18827371;18829831;18829831;18830205;18830205;18832469;18832469;18837973;18837973;18840637;18853327;18853327;18853327;18856155;18856155;18856155;18862171;18862171;18862171;18866198;18866198;18866198;18867954;18867954;18870500;18870500;18872212;18872212;18873829;18873829;18875836;18875836;18876753;18876753;18877567;18877567;18883900;18883900;18888935;18888935;18892004;18892004	18750042;18750042;18758682;18772394;18772394;18772394;18776731;18776731;18776731;18778697;18778697;18778697;18783253;18783253;18783253;18783898;18783898;18783898;18786845;18786845;18786845;18792154;18792154;18792154;18792959;18792959;18792959;18796325;18796325;18796325;18796541;18796541;18796541;18801069;18801069;18801069;18802202;18802202;18802202;18809672;18809672;18809672;18811813;18811813;18811813;18813629;18813629;18813629;18815469;18815469;18815469;18819190;18819190;18819190;18824425;18823479;18823479;18825879;18825879;18827622;18827622;18830005;18830005;18830319;18830319;18832662;18832662;18838105;18838105;18840842;18854468;18854468;18854468;18856264;18856264;18856264;18862288;18862288;18862288;18866239;18866289;18866289;18868012;18868012;18870525;18870525;18872262;18872262;18873894;18873894;18876122;18876122;18876835;18876835;18877772;18877772;18883951;18883951;18889041;18889041;18892340;18892511	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7719	18	9	2	7	11	7	11	4	7	15	10	6
ENSMUSG00000088601.1	chr19	18776746	18776961	-	216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036192.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	18930605;18930605;18936563;18952158;18952158;18952158;18955042;18955042;18955042;18957227;18957227;18957227;18960409;18960409;18960409;18962025;18962025;18962025;18975962;18975980;18977581;18977581;18977581;18983342;18983342;18983342;18983342;18983342;18988031;18988031;18988031;18988031;18988031;18994268;18994268;19001007;19001007;19001007;19001007;19110552	18938035;18938035;18938035;18952270;18952270;18952270;18955152;18955152;18955152;18957334;18957334;18957334;18960541;18960541;18960541;18962146;18962146;18962146;18977982;18977982;18977982;18977982;18977982;18983483;18983483;18983483;18983483;18983483;18988116;18988116;18988116;18988116;18988116;18994320;18994320;19001111;19001100;19001117;19001117;19111196	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11076	67	60	114	121	49	30	59	81	92	71	45	39
ENSMUSG00000117909.1	chr19;chr19;chr19;chr19;chr19;chr19	19244035;19244037;19245637;19245681;19276048;19276048	19244259;19244259;19245775;19245775;19276348;19276279	-;-;-;-;-;-	665	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088907.1	chr19	19275899	19276030	+	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118109.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19276471;19276471;19284496;19284496;19314498;19314498;19317837;19319499;19319543	19276930;19276930;19284625;19284625;19314620;19314620;19317966;19319651;19319651	+;+;+;+;+;+;+;+;+	996	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118167.1	chr19;chr19	19871432;19876449	19874021;19876563	-;-	2705	7	6	6	5	6	6	7	7	8	5	8	6
ENSMUSG00000118150.1	chr19;chr19;chr19;chr19	20005989;20009821;20028600;20060354	20006274;20009975;20028686;20060758	-;-;-;-	933	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064783.1	chr19	20033504	20033635	-	132	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118067.1	chr19;chr19;chr19	20117385;20119721;20123492	20117509;20119912;20123828	-;-;-	654	0	0	0	0	0	0	0	0	0	0	0	0
